Code_UAI;acces_ressources
0810016C;Bien
0810026N;Bien
0810041E;Mauvais
0810124V;Bien
0810125W;Assez bien
0811144D;Mauvais
0820883P;Assez bien
0090003E;Mauvais
0090006H;Assez bien
0090019X;Bien
0090025D;Assez bien
0090055L;Très bien
0110003U;Bien
0110010B;Assez bien
0110067N;Bien
0110665N;Mauvais
0110675Z;Très bien
0110870L;Mauvais
0120002M;Très bien
0120031U;Mauvais
0121176N;Très bien
0300023M;Mauvais
0300036B;Très bien
0300946R;Assez bien
0301010K;Mauvais
0301214G;Bien
0301232B;Mauvais
0310015Y;Assez bien
0310022F;Bien
0310024H;Très bien
0310039Z;Bien
0310046G;Mauvais
0310052N;Bien
0310084Y;Assez bien
0311235Z;Très bien
0311265G;Très bien
0311266H;Bien
0311327Z;Assez bien
0311333F;Bien
0311335H;Bien
0311584D;Mauvais
0311586F;Bien
0311631E;Très bien
0311686P;Bien
0311687R;Mauvais
0311689T;Mauvais
0311851U;Mauvais
0312140H;Très bien
0312478A;Bien
0312610U;Très bien
0312729Y;Bien
0312759F;Bien
0312915A;Très bien
0320015T;Mauvais
0320019X;Mauvais
0320021Z;Très bien
0320023B;Assez bien
0320028G;Mauvais
0320035P;Très bien
0320036R;Assez bien
0320074G;Très bien
0320562M;Très bien
0320608M;Mauvais
0340008Z;Bien
0340009A;Assez bien
0340011C;Assez bien
0340053Y;Très bien
0340837A;Assez bien
0340973Y;Assez bien
0340998A;Mauvais
0341030K;Bien
0341276C;Très bien
0341364Y;Très bien
0341388Z;Très bien
0341764H;Mauvais
0341794R;Très bien
0341870Y;Mauvais
0341921D;Bien
0342036D;Mauvais
0342050U;Assez bien
0342225J;Très bien
0460013P;Bien
0460027E;Bien
0460030H;Assez bien
0460565P;Assez bien
0460573Y;Assez bien
0480004U;Très bien
0480005V;Très bien
0650025Z;Très bien
0650031F;Très bien
0650034J;Mauvais
0650050B;Très bien
0650089U;Très bien
0660001T;Mauvais
0660019M;Assez bien
0660038H;Assez bien
0090007J;Très bien
0090481Z;Très bien
0090546V;Très bien
0110037F;Bien
0110672W;Bien
0110721Z;Bien
0111048E;Assez bien
0120020G;Assez bien
0120024L;Bien
0120037A;Bien
0120878P;Mauvais
0121295T;Mauvais
0300037C;Mauvais
0300039E;Assez bien
0301210C;Assez bien
0301721H;Très bien
0310007P;Assez bien
0310012V;Bien
0310037X;Bien
0310041B;Mauvais
0310053P;Mauvais
0311094W;Mauvais
0311111P;Très bien
0311232W;Mauvais
0311338L;Très bien
0311582B;Bien
0311690U;Mauvais
0312307P;Très bien
0312696M;Bien
0312822Z;Mauvais
0320008K;Bien
0320009L;Bien
0320014S;Assez bien
0320033M;Bien
0340039H;Très bien
0340996Y;Très bien
0341363X;Assez bien
0341367B;Bien
0460026D;Mauvais
0460028F;Mauvais
0460592U;Très bien
0480003T;Très bien
0480016G;Assez bien
0480688M;Bien
0650003A;Très bien
0650014M;Mauvais
0650026A;Très bien
0650029D;Mauvais
0650038N;Assez bien
0660011D;Mauvais
0660037G;Très bien
0660648W;Bien
0660866H;Très bien
0810030T;Très bien
0810993P;Très bien
0811197L;Bien
0811340S;Bien
0820007M;Mauvais
0820021C;Très bien
0820032P;Mauvais
0820704V;Mauvais
0090010M;Assez bien
0090012P;Assez bien
0090015T;Très bien
0090573Z;Très bien
0110027V;Assez bien
0111051H;Mauvais
0120006S;Bien
0120019F;Mauvais
0120021H;Mauvais
0120025M;Mauvais
0120028R;Très bien
0120029S;Mauvais
0120101V;Très bien
0121178R;Assez bien
0300021K;Assez bien
0300042H;Assez bien
0300046M;Bien
0301013N;Assez bien
0301096D;Très bien
0301552Z;Bien
0301778V;Bien
0310001H;Très bien
0310008R;Bien
0310017A;Très bien
0310019C;Bien
0310025J;Très bien
0310029N;Bien
0310038Y;Bien
0310040A;Bien
0310047H;Mauvais
0310051M;Mauvais
0310054R;Très bien
0310083X;Très bien
0310085Z;Très bien
0310088C;Mauvais
0311231V;Assez bien
0311238C;Très bien
0311330C;Mauvais
0311630D;Mauvais
0311632F;Très bien
0311633G;Très bien
0311688S;Bien
0311769E;Très bien
0312071H;Assez bien
0312092F;Bien
0312611V;Bien
0312699R;Très bien
