Code_UAI;charte_num
0810016C;Mauvais
0810026N;Très bien
0810041E;Très bien
0810124V;Moyen
0810125W;Mauvais
0811144D;Moyen
0090003E;Moyen
0090019X;Bien
0090055L;Moyen
0110010B;Mauvais
0110067N;Très bien
0110665N;Bien
0110675Z;Moyen
0110870L;Mauvais
0120002M;Bien
0120031U;Mauvais
0300023M;Très bien
0300946R;Moyen
0301010K;Très bien
0301214G;Moyen
0301232B;Très bien
0310022F;Moyen
0310024H;Très bien
0310039Z;Très bien
0310046G;Bien
0310052N;Moyen
0310084Y;Moyen
0311235Z;Moyen
0311265G;Bien
0311266H;Mauvais
0311327Z;Mauvais
0311333F;Bien
0311335H;Mauvais
0311584D;Bien
0311586F;Mauvais
0311631E;Moyen
0311686P;Mauvais
0311687R;Mauvais
0311689T;Très bien
0311851U;Très bien
0312140H;Mauvais
0312478A;Mauvais
0312610U;Mauvais
0312729Y;Très bien
0312759F;Mauvais
0312915A;Mauvais
0320015T;Mauvais
0320019X;Moyen
0320021Z;Très bien
0320023B;Moyen
0320028G;Moyen
0320036R;Mauvais
0320074G;Moyen
0320562M;Bien
0320608M;Très bien
0340009A;Mauvais
0340011C;Bien
0340053Y;Moyen
0340837A;Mauvais
0340973Y;Moyen
0340998A;Moyen
0341030K;Très bien
0341276C;Très bien
0341364Y;Moyen
0341388Z;Moyen
0341764H;Très bien
0341794R;Très bien
0341870Y;Très bien
0341921D;Très bien
0342036D;Bien
0342050U;Bien
0342225J;Bien
0460013P;Moyen
0460027E;Moyen
0460030H;Moyen
0460565P;Très bien
0650025Z;Bien
0650031F;Très bien
0650034J;Très bien
0650050B;Moyen
0650089U;Moyen
0660001T;Mauvais
0660038H;Moyen
0090007J;Mauvais
0090481Z;Mauvais
0090546V;Moyen
0110672W;Moyen
0110721Z;Moyen
0111048E;Mauvais
0120020G;Mauvais
0120024L;Très bien
0120037A;Très bien
0120878P;Mauvais
0121295T;Moyen
0300037C;Très bien
0300039E;Moyen
0301721H;Très bien
0310007P;Mauvais
0310012V;Très bien
0310037X;Bien
0310041B;Moyen
0310053P;Mauvais
0311094W;Très bien
0311111P;Moyen
0311232W;Très bien
0311338L;Moyen
0311582B;Moyen
0311690U;Bien
0312696M;Mauvais
0312822Z;Moyen
0320008K;Très bien
0320009L;Bien
0320014S;Mauvais
0320033M;Très bien
0340039H;Mauvais
0340996Y;Très bien
0341363X;Mauvais
0341367B;Très bien
0460024B;Moyen
0460026D;Moyen
0460028F;Très bien
0460592U;Mauvais
0480003T;Mauvais
0480016G;Mauvais
0480688M;Bien
0650003A;Bien
0650014M;Bien
0650026A;Moyen
0650029D;Mauvais
0650038N;Moyen
0660011D;Bien
0660648W;Mauvais
0660866H;Très bien
0810030T;Mauvais
0811197L;Moyen
0811340S;Moyen
0820007M;Très bien
0820021C;Bien
0820032P;Très bien
0820704V;Mauvais
0090010M;Mauvais
0090012P;Mauvais
0090015T;Mauvais
0090573Z;Très bien
0110027V;Mauvais
0110859Z;Très bien
0111051H;Moyen
0120006S;Moyen
0120019F;Moyen
0120021H;Mauvais
0120025M;Moyen
0120028R;Mauvais
0120101V;Moyen
0121178R;Bien
0300021K;Mauvais
0300046M;Mauvais
0301013N;Moyen
0301096D;Moyen
0301552Z;Moyen
0301778V;Mauvais
0310001H;Moyen
0310017A;Mauvais
0310019C;Bien
0310025J;Moyen
0310029N;Moyen
0310038Y;Bien
0310040A;Bien
0310047H;Bien
0310054R;Mauvais
0310083X;Moyen
0310085Z;Très bien
0310088C;Mauvais
0311231V;Très bien
0311238C;Moyen
0311330C;Bien
0311630D;Mauvais
0311632F;Très bien
0311633G;Mauvais
0311688S;Moyen
0311769E;Moyen
0312071H;Moyen
0312092F;Moyen
0312611V;Mauvais
0312699R;Moyen
0312754A;Moyen
0320002D;Très bien
0320006H;Bien
0320011N;Mauvais
0340040J;Mauvais
0340111L;Mauvais
0341321B;Moyen
0341366A;Bien
0341893Y;Très bien
0342326U;Moyen
0460008J;Moyen
0460022Z;Moyen
0460528Z;Moyen
0460529A;Très bien
0460530B;Mauvais
0480015F;Bien
0650033H;Bien
0660051X;Mauvais
0660480N;Moyen
0660522J;Très bien
0810004P;Mauvais
0810005R;Moyen
0810006S;Bien
0810019F;Très bien
0810025M;Très bien
0810037A;Bien
0810038B;Moyen
0810051R;Très bien
0810127Y;Moyen
0811030E;Moyen
0811331G;Moyen
0820001F;Mauvais
0820066B;Moyen
0820683X;Moyen
0820896D;Très bien
0810003N;Bien
0810023K;Très bien
0810044H;Moyen
0810061B;Mauvais
0810787R;Moyen
0810961E;Moyen
0810995S;Mauvais
0820014V;Mauvais
0820016X;Mauvais
0820017Y;Mauvais
0820020B;Mauvais
0820029L;Moyen
0820588U;Moyen
0820823Z;Très bien
0090018W;Mauvais
0090024C;Mauvais
0090056M;Moyen
0110019L;Moyen
0110023R;Mauvais
0120016C;Moyen
0120032V;Mauvais
0120038B;Mauvais
0120096P;Mauvais
0120622L;Très bien
0121133S;Bien
0121273U;Moyen
0121297V;Moyen
0300002P;Très bien
0300031W;Très bien
0300032X;Mauvais
0300043J;Mauvais
0300062E;Bien
0300949U;Moyen
0301012M;Très bien
0301325C;Moyen
0301671D;Bien
0310003K;Bien
0310005M;Mauvais
0310021E;Mauvais
0310028M;Mauvais
0310056T;Moyen
0310057U;Moyen
0311092U;Mauvais
0311240E;Mauvais
0311580Z;Moyen
0311634H;Moyen
0311718Z;Moyen
0311772H;Moyen
0312093G;Moyen
0312609T;Bien
0312743N;Très bien
0312744P;Mauvais
0312746S;Mauvais
0312868Z;Mauvais
0320001C;Mauvais
0320010M;Mauvais
0320029H;Mauvais
0320031K;Très bien
0320040V;Très bien
0340006X;Moyen
0340021N;Bien
0340032A;Mauvais
0340059E;Bien
0340063J;Mauvais
0340088L;Bien
0341028H;Bien
0341656R;Moyen
0342066L;Mauvais
0342090M;Mauvais
0460007H;Mauvais
0460010L;Mauvais
0460015S;Moyen
0460493L;Bien
0460593V;Moyen
0460594W;Mauvais
0480006W;Moyen
0480013D;Très bien
0480017H;Mauvais
0650012K;Moyen
0650019T;Bien
0650037M;Mauvais
0650088T;Mauvais
0650740B;Moyen
0660018L;Mauvais
0660029Y;Mauvais
0660601V;Mauvais
0090001C;Très bien
0090002D;Mauvais
0090009L;Moyen
0090013R;Très bien
0090020Y;Très bien
0090478W;Bien
0110012D;Mauvais
0110022P;Bien
0110025T;Très bien
0110666P;Bien
0110676A;Mauvais
0120004P;Mauvais
0120022J;Mauvais
0300020J;Très bien
0300026R;Très bien
0300027S;Mauvais
0301014P;Moyen
0301656M;Très bien
0301723K;Moyen
0310023G;Bien
0310032S;Moyen
0310035V;Moyen
0310092G;Très bien
0311093V;Moyen
0311112R;Très bien
0311264F;Moyen
0311334G;Mauvais
0311573S;Mauvais
0311581A;Mauvais
0311720B;Mauvais
0311721C;Moyen
0311902Z;Bien
0312139G;Très bien
0312220V;Moyen
0312267W;Mauvais
0312289V;Moyen
0312290W;Bien
0312612W;Très bien
0312686B;Moyen
0312698P;Bien
0312700S;Mauvais
0312762J;Très bien
0312799Z;Mauvais
0312843X;Moyen
0320013R;Moyen
0320030J;Mauvais
0320067Z;Très bien
0320563N;Mauvais
0340031Z;Très bien
0340037F;Mauvais
0340042L;Mauvais
