Code_UAI;maintenance
0810016C;Bien
0810026N;Bien
0810041E;Trés bien
0810125W;Bien
0811144D;Bien
0820883P;Trés bien
0090003E;Assez bien
0090006H;Trés bien
0090019X;Assez bien
0090055L;Bien
0110003U;Assez bien
0110010B;Trés bien
0110067N;Trés bien
0110665N;Trés bien
0110675Z;Bien
0110870L;Assez bien
0120002M;Bien
0120031U;Bien
0121176N;Trés bien
0300023M;Moyen
0300036B;Bien
0300946R;Moyen
0301010K;Bien
0301214G;Bien
0301232B;Bien
0310015Y;Trés bien
0310022F;Trés bien
0310024H;Trés bien
0310039Z;Trés bien
0310046G;Trés bien
0310052N;Moyen
0310084Y;Bien
0311235Z;Trés bien
0311265G;Trés bien
0311266H;Trés bien
0311327Z;Trés bien
0311333F;Bien
0311335H;Bien
0311584D;Bien
0311586F;Bien
0311631E;Bien
0311686P;Trés bien
0311687R;Moyen
0311689T;Bien
0311851U;Assez bien
0312140H;Bien
0312478A;Bien
0312610U;Moyen
0312729Y;Moyen
0312759F;Trés bien
0312915A;Trés bien
0320015T;Bien
0320019X;Bien
0320021Z;Bien
0320023B;Trés bien
0320028G;Moyen
0320035P;Bien
0320036R;Bien
0320074G;Bien
0320562M;Bien
0320608M;Bien
0340008Z;Trés bien
0340009A;Trés bien
0340011C;Trés bien
0340053Y;Trés bien
0340837A;Trés bien
0340973Y;Trés bien
0340998A;Moyen
0341030K;Trés bien
0341276C;Trés bien
0341364Y;Trés bien
0341388Z;Trés bien
0341764H;Bien
0341794R;Bien
0341870Y;Trés bien
0341921D;Bien
0342036D;Trés bien
0342050U;Trés bien
0342225J;Trés bien
0460013P;Trés bien
0460027E;Moyen
0460030H;Bien
0460565P;Bien
0480004U;Trés bien
0480005V;Moyen
0650025Z;Trés bien
0650031F;Bien
0650034J;Assez bien
0650050B;Bien
0650089U;Bien
0660001T;Bien
0660019M;Trés bien
0660038H;Bien
0090007J;Bien
0090481Z;Assez bien
0090546V;Moyen
0110037F;Trés bien
0110672W;Moyen
0110721Z;Moyen
0111048E;Bien
0120020G;Trés bien
0120024L;Bien
0120037A;Bien
0120878P;Bien
0121295T;Assez bien
0300037C;Bien
0300039E;Moyen
0301210C;Trés bien
0301721H;Bien
0310007P;Assez bien
0310012V;Bien
0310037X;Bien
0310041B;Bien
0310053P;Trés bien
0311094W;Bien
0311111P;Trés bien
0311232W;Assez bien
0311338L;Bien
0311582B;Bien
0311690U;Bien
0312307P;Moyen
0312696M;Bien
0312822Z;Bien
0320008K;Trés bien
0320009L;Trés bien
0320014S;Bien
0320033M;Bien
0340039H;Trés bien
0340996Y;Trés bien
0341363X;Trés bien
0341367B;Trés bien
0460024B;Assez bien
0460026D;Bien
0460028F;Bien
0460592U;Trés bien
0480003T;Moyen
0480009Z;Trés bien
0480016G;Bien
0480688M;Assez bien
0650003A;Bien
0650014M;Moyen
0650026A;Trés bien
0650029D;Trés bien
0660011D;Trés bien
0660037G;Assez bien
0660648W;Trés bien
0660866H;Trés bien
0810030T;Bien
0810993P;Bien
0811197L;Bien
0811340S;Moyen
0820007M;Bien
0820021C;Trés bien
0820032P;Trés bien
0820704V;Bien
0090010M;Bien
0090012P;Bien
0090015T;Bien
0090573Z;Bien
0110027V;Bien
0110859Z;Bien
0111051H;Trés bien
0120006S;Trés bien
0120019F;Assez bien
0120021H;Moyen
0120025M;Bien
0120028R;Trés bien
0120029S;Assez bien
0120101V;Assez bien
0121178R;Bien
0300021K;Moyen
0300042H;Trés bien
0300046M;Trés bien
0301096D;Bien
0301552Z;Trés bien
0310001H;Trés bien
0310008R;Trés bien
0310017A;Trés bien
0310019C;Bien
0310025J;Trés bien
0310029N;Trés bien
0310038Y;Bien
0310040A;Bien
0310047H;Trés bien
0310051M;Bien
0310083X;Bien
0310085Z;Bien
0310088C;Bien
0311231V;Assez bien
0311238C;Bien
0311330C;Trés bien
0311630D;Trés bien
0311632F;Bien
0311633G;Bien
0311688S;Trés bien
0311769E;Assez bien
0312071H;Assez bien
0312092F;Trés bien
0312611V;Bien
0312699R;Trés bien
0312754A;Moyen
0320002D;Bien
0320006H;Bien
0320011N;Moyen
0340040J;Trés bien
0340111L;Trés bien
0341321B;Trés bien
