Code_UAI;services_num
0810016C;Bien
0810026N;Trés bien
0810041E;Bien
0810124V;Bien
0810125W;Bien
0811144D;Bien
0820883P;Trés bien
0090001C;Bien
0090007J;Trés bien
0090009L;Bien
0090013R;Trés bien
0090015T;Trés bien
0090024C;Bien
0110067N;Trés bien
0110665N;Bien
0110666P;Trés bien
0111015U;Bien
0120004P;Trés bien
0120021H;Bien
0120037A;Bien
0120096P;Bien
0120101V;Trés bien
0121295T;Bien
0300006U;Bien
0300027S;Trés bien
0300039E;Bien
0300042H;Trés bien
0300046M;Bien
0300059B;Bien
0300062E;Bien
0301327E;Trés bien
0301656M;Bien
0301671D;Trés bien
0301778V;Bien
0310001H;Trés bien
0310003K;Trés bien
0310008R;Bien
0310012V;Bien
0310015Y;Bien
0310021E;Bien
0310022F;Bien
0310052N;Bien
0310083X;Trés bien
0310088C;Trés bien
0311093V;Trés bien
0311094W;Bien
0311266H;Bien
0311334G;Bien
0311335H;Bien
0311584D;Trés bien
0311586F;Bien
0311689T;Trés bien
0311720B;Trés bien
0311721C;Bien
0311772H;Bien
0312071H;Trés bien
0312307P;Trés bien
0312423R;Bien
0312612W;Trés bien
0312700S;Trés bien
0312729Y;Bien
0312754A;Bien
0312759F;Bien
0312822Z;Trés bien
0312843X;Trés bien
0320029H;Trés bien
0320067Z;Trés bien
0320074G;Trés bien
0320608M;Trés bien
0340011C;Bien
0340021N;Bien
0340042L;Trés bien
0341277D;Trés bien
0341592W;Trés bien
0341893Y;Trés bien
0342052W;Trés bien
0342225J;Bien
0460007H;Bien
0460051F;Bien
0460493L;Bien
0460528Z;Trés bien
0460592U;Trés bien
0480007X;Bien
0480015F;Trés bien
0650015N;Trés bien
0650018S;Trés bien
0650029D;Trés bien
0650031F;Trés bien
0650050B;Bien
0660004W;Trés bien
0660029Y;Trés bien
0660051X;Bien
0660809W;Trés bien
0660848N;Trés bien
0660925X;Bien
0810012Y;Bien
0810019F;Bien
0810027P;Trés bien
0810043G;Bien
0810127Y;Bien
0810995S;Bien
0811032G;Bien
0811340S;Trés bien
0820014V;Bien
0820016X;Bien
0820017Y;Bien
0820029L;Trés bien
0090003E;Bien
0090006H;Bien
0090019X;Bien
0090025D;Trés bien
0090055L;Trés bien
0110003U;Trés bien
0110010B;Trés bien
0110067N;Trés bien
0110665N;Bien
0110675Z;Trés bien
0110870L;Bien
0120002M;Bien
0120031U;Bien
0121176N;Trés bien
0300023M;Bien
0300036B;Trés bien
0300946R;Bien
0301010K;Bien
0301214G;Trés bien
0301232B;Bien
0310015Y;Bien
0310022F;Bien
0310024H;Trés bien
0310039Z;Bien
0310046G;Trés bien
0310052N;Bien
0310084Y;Trés bien
0311235Z;Bien
0311265G;Trés bien
0311266H;Bien
0311327Z;Trés bien
0311333F;Trés bien
0311335H;Bien
0311584D;Trés bien
0311586F;Bien
0311631E;Bien
0311686P;Trés bien
0311687R;Bien
0311689T;Trés bien
0311851U;Trés bien
0312140H;Trés bien
0312478A;Bien
0312610U;Trés bien
0312729Y;Bien
0312759F;Bien
0312915A;Trés bien
0320015T;Bien
0320019X;Bien
0320021Z;Bien
0320023B;Trés bien
