Code_UAI;terminaux_num
0090007J;0
0090009L;0
0120037A;2
0300039E;0
0300059B;0
0300062E;0
0301656M;0
0301671D;0
0301778V;2
0310001H;0
0310012V;0
0310021E;0
0310052N;2
0310088C;0
0311093V;0
0311094W;0
0311334G;0
0311689T;0
0311720B;0
0311772H;0
0312423R;0
0312822Z;2
0320067Z;2
0320074G;0
0320608M;0
0340021N;0
0341893Y;0
0342225J;2
0460007H;2
0480007X;0
0480015F;0
0650015N;0
0650018S;0
0650029D;0
0650031F;0
0650050B;0
0660004W;0
0660029Y;0
0660051X;0
0660848N;0
0660925X;2
0810012Y;0
0810043G;0
0810127Y;0
0810995S;2
0811032G;0
0820014V;0
0820016X;0
0110686L;0
0111051H;0
0300031W;0
0300036B;0
0300041G;0
0301010K;0
0301014P;0
0301232B;0
0301552Z;1
0301721H;0
0310035V;0
0310038Y;2
0310056T;0
0311325X;0
0311338L;0
0311581A;0
0311718Z;0
0311769E;0
0312220V;0
0312610U;0
0312698P;0
0312744P;2
0312915A;0
0320019X;0
0340039H;0
0340048T;0
0340053Y;0
0340059E;0
0340076Y;1
0340088L;2
0340998A;0
0341028H;0
0341388Z;0
0341656R;0
0341705U;0
0342326U;2
0460018V;0
0460026D;0
0480016G;0
0660012E;2
0810003N;0
0810006S;0
0810030T;0
0810036Z;0
0820713E;0
0110012D;2
0300023M;1
0300946R;0
0301096D;0
0310017A;2
0310019C;0
0310029N;0
0310054R;0
0311573S;0
0311580Z;0
0312140H;0
0312337X;0
0312609T;0
0312686B;2
0312696M;0
0312746S;2
0312842W;0
0320023B;0
0320040V;0
0340031Z;0
0340065L;0
0341364Y;0
0341366A;2
0341870Y;0
0341921D;1
0342036D;0
0460529A;0
0460594W;0
0650014M;0
0650020U;0
0650022W;0
0650036L;0
0660028X;2
0660037G;2
0660038H;0
0660078B;0
0660924W;2
0810016C;0
0810961E;0
0820020B;0
0820021C;2
0090019X;0
0110025T;2
0110667R;0
0110675Z;0
0300016E;0
0300020J;0
0300026R;2
0300032X;0
0300037C;0
0300043J;0
0301013N;0
0301094B;0
0301325C;0
0310023G;0
0310028M;0
0310031R;0
0310037X;0
0311111P;0
0311232W;2
0311235Z;0
0311333F;0
0311634H;2
0311686P;0
0311690U;0
0311851U;0
0312267W;0
0312338Y;0
0320002D;2
0320006H;0
0320563N;0
0340110K;0
0341764H;0
0342077Y;0
0460008J;0
0480017H;0
0650037M;0
0660431K;0
0660600U;0
0660648W;0
0810028R;0
0810038B;0
0810993P;0
0811331G;0
0820004J;2
0820032P;2
0820684Y;0
0820896D;0
0090002D;2
0090018W;0
0090055L;0
0110023R;2
0110724C;0
0120025M;0
0120031U;0
0300002P;2
0301654K;0
0301722J;0
0301723K;0
0310040A;2
0310041B;2
0310051M;0
0311687R;0
0311850T;0
0312139G;0
0312611V;0
0320001C;0
0320013R;0
0320033M;0
0320036R;0
0340972X;0
0340974Z;0
0341030K;0
0341321B;0
0341794R;2
0341826A;0
0342066L;0
0342132H;0
0460010L;2
0460027E;0
0460030H;0
0650017R;0
0650025Z;0
0650740B;0
0660008A;0
0660010C;2
0660011D;2
0660019M;0
0660030Z;2
0660601V;2
0660866H;0
0810008U;0
0810037A;0
0810051R;0
0810125W;0
0810787R;0
0811144D;0
0811197L;2
0820011S;0
0820067C;0
