,label,annee_x,localite,departement_x,nom_etablissement,position,rne,latitude,longitude,Etablissement,annee_y,Ville,UAI,Code commune,Academie,departement_y,Secteur,Presents - L,Presents - ES,Presents - S,Presents - STG,Presents - STI2D,Presents - STD2A,Presents - STMG,Presents - STL,Presents - ST2S,Presents - TMD,Presents - STHR,Presents - Toutes series,Taux de reussite - L,Taux de reussite - ES,Taux de reussite - S,Taux de reussite - STG,Taux de reussite - STI2D,Taux de reussite - STD2A,Taux de reussite - STMG,Taux de reussite - STL,Taux de reussite - ST2S,Taux de reussite - TMD,Taux de reussite - STHR,taux_reussite_toutes_series,Taux de reussite attendu acad - L,Taux de reussite attendu acad - ES,Taux de reussite attendu acad - S,Taux de reussite attendu acad - STG,Taux de reussite attendu acad - STI2D,Taux de reussite attendu acad - STD2A,Taux de reussite attendu acad - STMG,Taux de reussite attendu acad - STL,Taux de reussite attendu acad - ST2S,Taux de reussite attendu acad - TMD,Taux de reussite attendu acad - STHR,Taux de reussite attendu acad - Toutes series,Taux de reussite attendu france - L,Taux de reussite attendu france - ES,Taux de reussite attendu france - S,Taux de reussite attendu france - STG,Taux de reussite attendu france - STI2D,Taux de reussite attendu france - STD2A,Taux de reussite attendu france - STMG,Taux de reussite attendu france - STL,Taux de reussite attendu france - ST2S,Taux de reussite attendu france - TMD,Taux de reussite attendu france - STHR,taux_reussite_attendu_toutes_series,Taux de mentions - L,Taux de mentions - ES,Taux de mentions - S,Taux de mentions - STI2D,Taux de mentions - STD2A,Taux de mentions - STMG,Taux de mentions - STL,Taux de mentions - ST2S,Taux de mentions - STHR,Taux de mentions - Toutes series,Taux de mentions attendu - L,Taux de mentions attendu - ES,Taux de mentions attendu - S,Taux de mentions attendu - STI2D,Taux de mentions attendu - STD2A,Taux de mentions attendu - STMG,Taux de mentions attendu - STL,Taux de mentions attendu - ST2S,Taux de mentions attendu - STHR,Taux de mentions attendu - Toutes series,Structure pedagogique 5 groupes,Structure pedagogique 7 groupes,Pourcentage bacheliers sortants 2de 1re Terminale Etablissement,Pourcentage bacheliers sortants Terminales Etablissement,Pourcentage bacheliers sortants 2de 1re Terminale Acad,Pourcentage bacheliers sortants Terminale Acad,Pourcentage bacheliers sortants 2de 1re Terminale France,Pourcentage bacheliers sortants Terminale France,Effectif de seconde,Effectif de premiere,Effectif de terminale,Taux d'acces 2nde-bac,Taux d'acces attendu acad 2nde-bac,Taux d'acces attendu france 2nde-bac,Taux d'acces 1ere-bac,Taux d'acces attendu acad 1ere-bac,Taux d'acces attendu france 1ere-bac,Taux d'acces terminale-bac,Taux d'acces attendu france terminale-bac,Region,Code region,code_departement,Libelle departement,va_taux_reussite_toutes_series,Valeur ajoutee du taux d'acces 2nde-bac,Valeur ajoutee du taux de mentions - Toutes series,Valeur ajoutee du taux de reussite - L,Valeur ajoutee du taux de reussite - ES,Valeur ajoutee du taux de reussite - S,Valeur ajoutee du taux de reussite - STG,Valeur ajoutee du taux de reussite - STI2D,Valeur ajoutee du taux de reussite - STD2A,Valeur ajoutee du taux de reussite - STMG,Valeur ajoutee du taux de reussite - STL,Valeur ajoutee du taux de reussite - ST2S,Valeur ajoutee du taux de reussite - TMD,Valeur ajoutee du taux de reussite - STHR,Valeur ajoutee du taux d'acces 1ere-bac,Valeur ajoutee du taux d'acces terminale-bac,Valeur ajoutee du taux de mentions - L,Valeur ajoutee du taux de mentions - ES,Valeur ajoutee du taux de mentions - S,Valeur ajoutee du taux de mentions - STI2D,Valeur ajoutee du taux de mentions - STD2A,Valeur ajoutee du taux de mentions - STMG,Valeur ajoutee du taux de mentions - STL,Valeur ajoutee du taux de mentions - ST2S,Valeur ajoutee du taux de mentions - STHR,Presents - Gnle,Taux de reussite - Gnle,Valeur ajoutee du taux de réussite - Gnle,Taux de mentions - Gnle,Valeur ajoutée du taux de mentions - Gnle,resultat_apres_label
0,1,2017,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007,LYCEE MARIE CURIE,2014,TARBES,0650026A,65440,TOULOUSE,HAUTES PYRENEES,PU,34.0,69.0,66.0,,,,87.0,15.0,98.0,,,369.0,94.0,96.0,97.0,,,,90.0,87.0,91.0,,,93.0,94.0,94.0,93.0,,,,92.0,91.0,95.0,,,94.0,93,93,93,,,,95,94,95.0,,,94.0,,,,,,,,,,,,,,,,,,,,,2.0,,82.0,95.0,74.0,96.0,77.0,94.0,328.0,379.0,,77,71.0,75,89.0,88.0,89,,,OCCITANIE,76.0,65,Hautes-Pyrénées,-1,2,,1,3,4,,,,-5,-7,-4,,,0,,,,,,,,,,,,,,,,False
1,1,2017,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007,LYCEE MARIE CURIE,2016,TARBES,0650026A,65440,TOULOUSE,HAUTES PYRENEES,PU,45.0,38.0,69.0,,,,103.0,16.0,104.0,,,375.0,84.0,95.0,97.0,,,,77.0,81.0,88.0,,,87.0,,,,,,,,,,,,,95,94,95,,,,91,91,96.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,345.0,411.0,384.0,76,,79,89.0,,91,95.0,95,OCCITANIE,76.0,65,Hautes-Pyrénées,-7,-3,,-11,1,2,,,,-14,-10,-8,,,-2,0,,,,,,,,,,,,,,,False
2,2,2018,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007,LYCEE MARIE CURIE,2014,TARBES,0650026A,65440,TOULOUSE,HAUTES PYRENEES,PU,34.0,69.0,66.0,,,,87.0,15.0,98.0,,,369.0,94.0,96.0,97.0,,,,90.0,87.0,91.0,,,93.0,94.0,94.0,93.0,,,,92.0,91.0,95.0,,,94.0,93,93,93,,,,95,94,95.0,,,94.0,,,,,,,,,,,,,,,,,,,,,2.0,,82.0,95.0,74.0,96.0,77.0,94.0,328.0,379.0,,77,71.0,75,89.0,88.0,89,,,OCCITANIE,76.0,65,Hautes-Pyrénées,-1,2,,1,3,4,,,,-5,-7,-4,,,0,,,,,,,,,,,,,,,,False
3,2,2018,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007,LYCEE MARIE CURIE,2016,TARBES,0650026A,65440,TOULOUSE,HAUTES PYRENEES,PU,45.0,38.0,69.0,,,,103.0,16.0,104.0,,,375.0,84.0,95.0,97.0,,,,77.0,81.0,88.0,,,87.0,,,,,,,,,,,,,95,94,95,,,,91,91,96.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,345.0,411.0,384.0,76,,79,89.0,,91,95.0,95,OCCITANIE,76.0,65,Hautes-Pyrénées,-7,-3,,-11,1,2,,,,-14,-10,-8,,,-2,0,,,,,,,,,,,,,,,False
4,1,2019,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007,LYCEE MARIE CURIE,2014,TARBES,0650026A,65440,TOULOUSE,HAUTES PYRENEES,PU,34.0,69.0,66.0,,,,87.0,15.0,98.0,,,369.0,94.0,96.0,97.0,,,,90.0,87.0,91.0,,,93.0,94.0,94.0,93.0,,,,92.0,91.0,95.0,,,94.0,93,93,93,,,,95,94,95.0,,,94.0,,,,,,,,,,,,,,,,,,,,,2.0,,82.0,95.0,74.0,96.0,77.0,94.0,328.0,379.0,,77,71.0,75,89.0,88.0,89,,,OCCITANIE,76.0,65,Hautes-Pyrénées,-1,2,,1,3,4,,,,-5,-7,-4,,,0,,,,,,,,,,,,,,,,False
5,1,2019,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007,LYCEE MARIE CURIE,2016,TARBES,0650026A,65440,TOULOUSE,HAUTES PYRENEES,PU,45.0,38.0,69.0,,,,103.0,16.0,104.0,,,375.0,84.0,95.0,97.0,,,,77.0,81.0,88.0,,,87.0,,,,,,,,,,,,,95,94,95,,,,91,91,96.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,345.0,411.0,384.0,76,,79,89.0,,91,95.0,95,OCCITANIE,76.0,65,Hautes-Pyrénées,-7,-3,,-11,1,2,,,,-14,-10,-8,,,-2,0,,,,,,,,,,,,,,,False
6,3,2021,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007,LYCEE MARIE CURIE,2014,TARBES,0650026A,65440,TOULOUSE,HAUTES PYRENEES,PU,34.0,69.0,66.0,,,,87.0,15.0,98.0,,,369.0,94.0,96.0,97.0,,,,90.0,87.0,91.0,,,93.0,94.0,94.0,93.0,,,,92.0,91.0,95.0,,,94.0,93,93,93,,,,95,94,95.0,,,94.0,,,,,,,,,,,,,,,,,,,,,2.0,,82.0,95.0,74.0,96.0,77.0,94.0,328.0,379.0,,77,71.0,75,89.0,88.0,89,,,OCCITANIE,76.0,65,Hautes-Pyrénées,-1,2,,1,3,4,,,,-5,-7,-4,,,0,,,,,,,,,,,,,,,,False
7,3,2021,Tarbes,065,Lycée d'enseignement général et technologique Marie Curie,"[43.2230826366, 0.0709205526007]",0650026A,43.2230826366,0.0709205526007,LYCEE MARIE CURIE,2016,TARBES,0650026A,65440,TOULOUSE,HAUTES PYRENEES,PU,45.0,38.0,69.0,,,,103.0,16.0,104.0,,,375.0,84.0,95.0,97.0,,,,77.0,81.0,88.0,,,87.0,,,,,,,,,,,,,95,94,95,,,,91,91,96.0,,,94.0,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,345.0,411.0,384.0,76,,79,89.0,,91,95.0,95,OCCITANIE,76.0,65,Hautes-Pyrénées,-7,-3,,-11,1,2,,,,-14,-10,-8,,,-2,0,,,,,,,,,,,,,,,False
8,2,2017,Perpignan,066,Lycée polyvalent Aristide Maillol,"[42.7175723734, 2.88617943594]",0660809W,42.7175723734,2.88617943594,LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.),2015,PERPIGNAN,0660809W,66136,MONTPELLIER,PYRENEES ORIENTALES,PU,35.0,85.0,125.0,,,,97.0,26.0,,,,368.0,89.0,82.0,78.0,,,,86.0,96.0,,,,83.0,,,,,,,,,,,,,89,88,87,,,,87,93,,,,88.0,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,416.0,374.0,399.0,73,,75,87.0,,89,89.0,93,OCCITANIE,76.0,66,Pyrénées-Orientales,-5,-2,,0,-6,-9,,,,-1,3,,,,-2,-4,,,,,,,,,,,,,,,False
9,2,2017,Perpignan,066,Lycée polyvalent Aristide Maillol,"[42.7175723734, 2.88617943594]",0660809W,42.7175723734,2.88617943594,LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.),2017,PERPIGNAN,0660809W,66136,MONTPELLIER,PYRENEES ORIENTALES,PU,33.0,119.0,124.0,,,,64.0,51.0,,,,391.0,82.0,78.0,85.0,,,,94.0,92.0,,,,85.0,,,,,,,,,,,,,90,85,89,,,,89,86,,,,88.0,45.0,28.0,51.0,,,42.0,29.0,,,39.0,39,33,46,,,34,34,,,38,,C,,,,,,,455.0,377.0,418.0,84,,81,91.0,,92,94.0,94,OCCITANIE,76.0,66,Pyrénées-Orientales,-3,3,1,-8,-7,-4,,,,5,6,,,,-1,0,6,-5,5,,,8,-5,,,,,,,,True
