,label,annee_x,localite,departement_x,nom_etablissement,position,rne,latitude,longitude,Etablissement,annee_y,Ville,UAI,Code commune,Academie,departement_y,Secteur,Presents - L,Presents - ES,Presents - S,Presents - STG,Presents - STI2D,Presents - STD2A,Presents - STMG,Presents - STL,Presents - ST2S,Presents - TMD,Presents - STHR,Presents - Toutes series,Taux de reussite - L,Taux de reussite - ES,Taux de reussite - S,Taux de reussite - STG,Taux de reussite - STI2D,Taux de reussite - STD2A,Taux de reussite - STMG,Taux de reussite - STL,Taux de reussite - ST2S,Taux de reussite - TMD,Taux de reussite - STHR,taux_reussite_toutes_series,Taux de reussite attendu acad - L,Taux de reussite attendu acad - ES,Taux de reussite attendu acad - S,Taux de reussite attendu acad - STG,Taux de reussite attendu acad - STI2D,Taux de reussite attendu acad - STD2A,Taux de reussite attendu acad - STMG,Taux de reussite attendu acad - STL,Taux de reussite attendu acad - ST2S,Taux de reussite attendu acad - TMD,Taux de reussite attendu acad - STHR,Taux de reussite attendu acad - Toutes series,Taux de reussite attendu france - L,Taux de reussite attendu france - ES,Taux de reussite attendu france - S,Taux de reussite attendu france - STG,Taux de reussite attendu france - STI2D,Taux de reussite attendu france - STD2A,Taux de reussite attendu france - STMG,Taux de reussite attendu france - STL,Taux de reussite attendu france - ST2S,Taux de reussite attendu france - TMD,Taux de reussite attendu france - STHR,taux_reussite_attendu_toutes_series,Taux de mentions - L,Taux de mentions - ES,Taux de mentions - S,Taux de mentions - STI2D,Taux de mentions - STD2A,Taux de mentions - STMG,Taux de mentions - STL,Taux de mentions - ST2S,Taux de mentions - STHR,Taux de mentions - Toutes series,Taux de mentions attendu - L,Taux de mentions attendu - ES,Taux de mentions attendu - S,Taux de mentions attendu - STI2D,Taux de mentions attendu - STD2A,Taux de mentions attendu - STMG,Taux de mentions attendu - STL,Taux de mentions attendu - ST2S,Taux de mentions attendu - STHR,Taux de mentions attendu - Toutes series,Structure pedagogique 5 groupes,Structure pedagogique 7 groupes,Pourcentage bacheliers sortants 2de 1re Terminale Etablissement,Pourcentage bacheliers sortants Terminales Etablissement,Pourcentage bacheliers sortants 2de 1re Terminale Acad,Pourcentage bacheliers sortants Terminale Acad,Pourcentage bacheliers sortants 2de 1re Terminale France,Pourcentage bacheliers sortants Terminale France,Effectif de seconde,Effectif de premiere,Effectif de terminale,Taux d'acces 2nde-bac,Taux d'acces attendu acad 2nde-bac,Taux d'acces attendu france 2nde-bac,Taux d'acces 1ere-bac,Taux d'acces attendu acad 1ere-bac,Taux d'acces attendu france 1ere-bac,Taux d'acces terminale-bac,Taux d'acces attendu france terminale-bac,Region,Code region,code_departement,Libelle departement,va_taux_reussite_toutes_series,Valeur ajoutee du taux d'acces 2nde-bac,Valeur ajoutee du taux de mentions - Toutes series,Valeur ajoutee du taux de reussite - L,Valeur ajoutee du taux de reussite - ES,Valeur ajoutee du taux de reussite - S,Valeur ajoutee du taux de reussite - STG,Valeur ajoutee du taux de reussite - STI2D,Valeur ajoutee du taux de reussite - STD2A,Valeur ajoutee du taux de reussite - STMG,Valeur ajoutee du taux de reussite - STL,Valeur ajoutee du taux de reussite - ST2S,Valeur ajoutee du taux de reussite - TMD,Valeur ajoutee du taux de reussite - STHR,Valeur ajoutee du taux d'acces 1ere-bac,Valeur ajoutee du taux d'acces terminale-bac,Valeur ajoutee du taux de mentions - L,Valeur ajoutee du taux de mentions - ES,Valeur ajoutee du taux de mentions - S,Valeur ajoutee du taux de mentions - STI2D,Valeur ajoutee du taux de mentions - STD2A,Valeur ajoutee du taux de mentions - STMG,Valeur ajoutee du taux de mentions - STL,Valeur ajoutee du taux de mentions - ST2S,Valeur ajoutee du taux de mentions - STHR,Presents - Gnle,Taux de reussite - Gnle,Valeur ajoutee du taux de réussite - Gnle,Taux de mentions - Gnle,Valeur ajoutée du taux de mentions - Gnle,label_true,resultat_apres_label
0,0.0,2021.0,Saint-Gaudens,031,Lycée d'enseignement général et technologique de Bagatelle,"[43.1117514743, 0.745609788708]",0310032S,43.1117514743,0.745609788708,LYCEE DE BAGATELLE,2013,ST GAUDENS,0310032S,31483,TOULOUSE,HAUTE GARONNE,PU,37.0,70.0,110.0,73.0,,,,,,,,290.0,86.0,91.0,94.0,85.0,,,,,,,,90.0,94.0,93.0,96.0,84.0,,,,,,,,92.0,92,93,96,88.0,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,2.0,,74.0,96.0,74.0,95.0,76.0,94.0,315.0,310.0,,72,72.0,76,89.0,90.0,90,,,OCCITANIE,76.0,31,Haute-Garonne,-3,-4,,-6,-2,-2,-3.0,,,,,,,,-1,,,,,,,,,,,,,,,,True,False
1,0.0,nan,,,,,,,,LYCEE NOTRE-DAME,2013,PAMIERS,0090036R,9225,TOULOUSE,ARIEGE,PR,6.0,21.0,23.0,,,,,,,,,50.0,100.0,86.0,91.0,,,,,,,,,90.0,94.0,90.0,91.0,,,,,,,,,91.0,94,88,92,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,1.0,,62.0,92.0,74.0,95.0,74.0,97.0,89.0,57.0,,57,67.0,63,76.0,86.0,81,,,OCCITANIE,76.0,09,Ariège,0,-6,,6,-2,-1,,,,,,,,,-5,,,,,,,,,,,,,,,,False,False
2,0.0,2017.0,Narbonne,011,Lycée d'enseignement général et technologique Docteur Lacroix,"[43.1775350538, 3.00219016219]",0110022P,43.1775350538,3.00219016219,LYCEE DOCTEUR LACROIX,2013,NARBONNE,0110022P,11262,MONTPELLIER,AUDE,PU,76.0,87.0,117.0,,,,,42.0,,,,322.0,93.0,93.0,92.0,,,,,86.0,,,,92.0,94.0,93.0,93.0,,,,,86.0,,,,92.0,94,95,94,,,,,95,,,,95.0,,,,,,,,,,,,,,,,,,,,,3.0,,61.0,94.0,74.0,94.0,73.0,95.0,530.0,355.0,,59,74.0,74,88.0,91.0,91,,,OCCITANIE,76.0,11,Aude,-3,-15,,-1,-2,-2,,,,,-9,,,,-3,,,,,,,,,,,,,,,,True,False
3,0.0,2018.0,Narbonne,011,Lycée d'enseignement général et technologique Docteur Lacroix,"[43.1775350538, 3.00219016219]",0110022P,43.1775350538,3.00219016219,LYCEE DOCTEUR LACROIX,2013,NARBONNE,0110022P,11262,MONTPELLIER,AUDE,PU,76.0,87.0,117.0,,,,,42.0,,,,322.0,93.0,93.0,92.0,,,,,86.0,,,,92.0,94.0,93.0,93.0,,,,,86.0,,,,92.0,94,95,94,,,,,95,,,,95.0,,,,,,,,,,,,,,,,,,,,,3.0,,61.0,94.0,74.0,94.0,73.0,95.0,530.0,355.0,,59,74.0,74,88.0,91.0,91,,,OCCITANIE,76.0,11,Aude,-3,-15,,-1,-2,-2,,,,,-9,,,,-3,,,,,,,,,,,,,,,,True,False
4,0.0,2019.0,Narbonne,011,Lycée d'enseignement général et technologique Docteur Lacroix,"[43.1775350538, 3.00219016219]",0110022P,43.1775350538,3.00219016219,LYCEE DOCTEUR LACROIX,2013,NARBONNE,0110022P,11262,MONTPELLIER,AUDE,PU,76.0,87.0,117.0,,,,,42.0,,,,322.0,93.0,93.0,92.0,,,,,86.0,,,,92.0,94.0,93.0,93.0,,,,,86.0,,,,92.0,94,95,94,,,,,95,,,,95.0,,,,,,,,,,,,,,,,,,,,,3.0,,61.0,94.0,74.0,94.0,73.0,95.0,530.0,355.0,,59,74.0,74,88.0,91.0,91,,,OCCITANIE,76.0,11,Aude,-3,-15,,-1,-2,-2,,,,,-9,,,,-3,,,,,,,,,,,,,,,,True,False
5,0.0,2021.0,Narbonne,011,Lycée d'enseignement général et technologique Docteur Lacroix,"[43.1775350538, 3.00219016219]",0110022P,43.1775350538,3.00219016219,LYCEE DOCTEUR LACROIX,2013,NARBONNE,0110022P,11262,MONTPELLIER,AUDE,PU,76.0,87.0,117.0,,,,,42.0,,,,322.0,93.0,93.0,92.0,,,,,86.0,,,,92.0,94.0,93.0,93.0,,,,,86.0,,,,92.0,94,95,94,,,,,95,,,,95.0,,,,,,,,,,,,,,,,,,,,,3.0,,61.0,94.0,74.0,94.0,73.0,95.0,530.0,355.0,,59,74.0,74,88.0,91.0,91,,,OCCITANIE,76.0,11,Aude,-3,-15,,-1,-2,-2,,,,,-9,,,,-3,,,,,,,,,,,,,,,,True,False
6,0.0,2019.0,Rodez,012,Lycée d'enseignement général Ferdinand Foch,"[44.3496434349, 2.55991950032]",0120022J,44.3496434349,2.55991950032,LYCEE FERDINAND FOCH,2013,RODEZ,0120022J,12202,TOULOUSE,AVEYRON,PU,49.0,87.0,118.0,,,,,,,,,254.0,96.0,94.0,97.0,,,,,,,,,96.0,94.0,97.0,97.0,,,,,,,,,96.0,96,97,97,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,1.0,,82.0,97.0,74.0,95.0,74.0,97.0,337.0,261.0,,82,81.0,81,95.0,93.0,94,,,OCCITANIE,76.0,12,Aveyron,-1,1,,0,-3,0,,,,,,,,,1,,,,,,,,,,,,,,,,True,False
7,0.0,2021.0,Rodez,012,Lycée d'enseignement général Ferdinand Foch,"[44.3496434349, 2.55991950032]",0120022J,44.3496434349,2.55991950032,LYCEE FERDINAND FOCH,2013,RODEZ,0120022J,12202,TOULOUSE,AVEYRON,PU,49.0,87.0,118.0,,,,,,,,,254.0,96.0,94.0,97.0,,,,,,,,,96.0,94.0,97.0,97.0,,,,,,,,,96.0,96,97,97,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,1.0,,82.0,97.0,74.0,95.0,74.0,97.0,337.0,261.0,,82,81.0,81,95.0,93.0,94,,,OCCITANIE,76.0,12,Aveyron,-1,1,,0,-3,0,,,,,,,,,1,,,,,,,,,,,,,,,,True,False
8,0.0,2017.0,Rodez,012,Lycée d'enseignement général et technologique des Métiers Alexis Monteil,"[44.3569646604, 2.57158995484]",0120024L,44.3569646604,2.57158995484,LYCEE ALEXIS MONTEIL,2013,RODEZ,0120024L,12202,TOULOUSE,AVEYRON,PU,,47.0,77.0,81.0,49.0,,,,,,,254.0,,96.0,94.0,91.0,92.0,,,,,,,93.0,,95.0,94.0,90.0,95.0,,,,,,,93.0,,95,94,93.0,94,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,3.0,,79.0,97.0,74.0,95.0,73.0,95.0,300.0,285.0,,77,72.0,73,89.0,88.0,90,,,OCCITANIE,76.0,12,Aveyron,-1,4,,,1,0,-2.0,-2,,,,,,,-1,,,,,,,,,,,,,,,,True,False
9,0.0,2018.0,Rodez,012,Lycée d'enseignement général et technologique des Métiers Alexis Monteil,"[44.3569646604, 2.57158995484]",0120024L,44.3569646604,2.57158995484,LYCEE ALEXIS MONTEIL,2013,RODEZ,0120024L,12202,TOULOUSE,AVEYRON,PU,,47.0,77.0,81.0,49.0,,,,,,,254.0,,96.0,94.0,91.0,92.0,,,,,,,93.0,,95.0,94.0,90.0,95.0,,,,,,,93.0,,95,94,93.0,94,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,3.0,,79.0,97.0,74.0,95.0,73.0,95.0,300.0,285.0,,77,72.0,73,89.0,88.0,90,,,OCCITANIE,76.0,12,Aveyron,-1,4,,,1,0,-2.0,-2,,,,,,,-1,,,,,,,,,,,,,,,,True,False
