Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro du collège;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre d'élèves total (nombre d'élèves dans les formations du 1er cycle du 2nd degré et non du nombre total d'élèves inscrits dans l'établissement, les DIMA et les dispositifs-relais sont exclus);Nombre d'élèves total hors Segpa hors ULIS;Nombre d'élèves total Segpa;Nombre d'élèves total ULIS;Nombre total de 6èmes;Nombre de 6èmes hors Segpa hors ULIS;Nombre de 6èmes Segpa;Nombre de 6èmes ULIS;Nombre de 6èmes filles;Nombre de 6èmes garçons;Nombre de 6èmes LV1 allemand;Nombre de 6èmes LV1 anglais;Nombre de 6èmes LV1 espagnol;Nombre de 6èmes LV1 autres langues;Nombre de 6èmes LV2 allemand;Nombre de 6èmes LV2 anglais;Nombre de 6èmes LV2 espagnol;Nombre de 6èmes LV2 italien;Nombre de 6èmes LV2 autres langues;Nombre total de 5èmes;Nombre de 5èmes hors Segpa hors ULIS;Nombre de 5èmes Segpa;Nombre de 5èmes ULIS;Nombre de 5èmes filles;Nombre de 5èmes garçons;Nombre de 5èmes LV1 allemand;Nombre de 5èmes LV1 anglais;Nombre de 5èmes LV1 espagnol;Nombre de 5èmes LV1 autres langues;Nombre de 5èmes LV2 allemand;Nombre de 5èmes LV2 anglais;Nombre de 5èmes LV2 espagnol;Nombre de 5èmes LV2 italien;Nombre de 5èmes LV2 autres langues;Nombre total de 4èmes;Nombre de 4èmes hors Segpa hors ULIS;Nombre de 4èmes Segpa;Nombre de 4èmes ULIS;Nombre de 4èmes filles;Nombre de 4èmes garçons;Nombre de 4èmes LV1 allemand;Nombre de 4èmes LV1 anglais;Nombre de 4èmes LV1 espagnol;Nombre de 4èmes LV1 autres langues;Nombre de 4èmes LV2 allemand;Nombre de 4èmes LV2 anglais;Nombre de 4èmes LV2 espagnol;Nombre de 4èmes LV2 italien;Nombre de 4èmes LV2 autres langues;Nombre total de 3èmes;Nombre de 3èmes hors Segpa hors ULIS;Nombre de 3èmes Segpa;Nombre de 3èmes ULIS;Nombre de 3èmes filles;Nombre de 3èmes garçons;Nombre de 3èmes LV1 allemand;Nombre de 3èmes LV1 anglais;Nombre de 3èmes LV1 espagnol;Nombre de 3èmes LV1 autres langues;Nombre de 3èmes LV2 allemand;Nombre de 3èmes LV2 anglais;Nombre de 3èmes LV2 espagnol;Nombre de 3èmes LV2 italien;Nombre de 3èmes LV2 autres langues
2020;OCCITANIE;MONTPELLIER;AUDE;BRAM;0110676A;COLLEGE;SAINT-EXUPERY;PUBLIC;0;0;680;680;0;0;167;167;0;0;90;77;0;167;0;0;0;0;29;0;0;163;163;0;0;83;80;0;163;0;0;0;0;163;0;0;178;178;0;0;94;84;0;178;0;0;0;0;178;0;0;172;172;0;0;102;70;0;172;0;0;0;0;172;0;0
2020;OCCITANIE;MONTPELLIER;AUDE;CARCASSONNE;0110810W;COLLEGE;DE GRAZAILLES;PUBLIC;0;0;837;726;84;27;214;190;18;6;104;110;0;196;0;0;9;0;54;0;0;239;196;35;8;114;125;0;204;0;0;6;0;198;0;0;204;182;17;5;91;113;0;187;0;0;8;0;179;0;0;180;158;14;8;90;90;0;166;0;0;17;0;149;0;0
2020;OCCITANIE;MONTPELLIER;AUDE;CASTELNAUDARY;0110012D;LYCEE POLYVALENT;GERMAINE TILLION;PUBLIC;0;0;8;8;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;8;0;8;0;0;0;0;8;0;0
2020;OCCITANIE;MONTPELLIER;AUDE;CUXAC-CABARDES;0110721Z;COLLEGE;ANTOINE COURRIERE;PUBLIC;0;0;334;334;0;0;71;71;0;0;34;37;0;71;0;0;0;0;0;0;0;98;98;0;0;49;49;0;98;0;0;0;0;98;0;0;90;90;0;0;44;46;0;90;0;0;0;0;90;0;0;75;75;0;0;33;42;0;75;0;0;0;0;75;0;0
2020;OCCITANIE;MONTPELLIER;AUDE;LIMOUX;0110859Z;COLLEGE;JOSEPH DELTEIL;PUBLIC;0;0;910;819;65;26;224;198;17;9;102;122;0;207;0;0;0;0;57;0;0;230;196;27;7;120;110;0;203;0;0;0;0;203;0;0;219;202;12;5;116;103;0;207;0;0;0;0;207;0;0;237;223;9;5;132;105;0;228;0;0;0;0;228;0;0
2020;OCCITANIE;MONTPELLIER;AUDE;NARBONNE;0110068P;COLLEGE;GEORGES BRASSENS;PUBLIC;1;0;521;521;0;0;125;125;0;0;52;73;0;125;0;0;18;0;0;0;0;151;151;0;0;76;75;0;151;0;0;17;0;134;0;0;121;121;0;0;57;64;0;121;0;0;18;0;103;0;0;124;124;0;0;58;66;0;124;0;0;21;0;103;0;0
2020;OCCITANIE;MONTPELLIER;AUDE;RIEUX-MINERVOIS;0110667R;COLLEGE;PIERRE ET MARIE CURIE;PUBLIC;0;0;389;389;0;0;112;112;0;0;62;50;0;112;0;0;0;0;30;0;0;87;87;0;0;45;42;0;87;0;0;0;0;87;0;0;91;91;0;0;51;40;0;91;0;0;0;0;91;0;0;99;99;0;0;55;44;0;99;0;0;0;0;99;0;0
2020;OCCITANIE;MONTPELLIER;AUDE;TREBES;0110674Y;COLLEGE;GASTON BONHEUR;PUBLIC;0;0;381;368;0;13;86;82;0;4;43;43;0;86;0;0;12;0;29;0;0;96;94;0;2;43;53;0;96;0;0;28;0;68;0;0;99;97;0;2;57;42;0;99;0;0;12;0;87;0;0;100;95;0;5;46;54;0;100;0;0;23;0;77;0;0
2020;OCCITANIE;MONTPELLIER;GARD;ALES;0300028T;LYCEE PROFESSIONNEL PRIVE;CEVENOL;PRIVE;0;0;13;13;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;9;4;0;13;0;0;0;0;13;0;0
2020;OCCITANIE;MONTPELLIER;GARD;ALES;0301014P;COLLEGE;DENIS DIDEROT;PUBLIC;1;0;593;525;56;12;160;144;13;3;81;79;0;147;0;0;14;0;0;0;0;137;121;15;1;69;68;0;122;0;0;7;0;108;7;0;162;143;13;6;75;87;0;149;0;0;17;0;122;10;0;134;117;15;2;71;63;0;119;0;0;10;0;106;3;0
